epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,8.68602,0.88653,0.54545,1,0.89314,5.001e-05,1.667e-05,5.001e-05,1.667e-05,5.001e-05,1.667e-05,5.001e-05,1.667e-05
2,16.7381,0.74719,0.54545,1,0.92201,0.000146317,4.87723e-05,0.000146317,4.87723e-05,0.000146317,4.87723e-05,0.000146317,4.87723e-05
3,24.2667,0.8186,0.54545,1,0.94195,0.000237673,7.92242e-05,0.000237673,7.92242e-05,0.000237673,7.92242e-05,0.000237673,7.92242e-05
4,31.7882,0.83499,0.54545,1,0.94294,0.000324077,0.000108026,0.000324077,0.000108026,0.000324077,0.000108026,0.000324077,0.000108026
5,39.4892,0.78692,0.36364,1,0.94079,0.000405531,0.000135177,0.000405531,0.000135177,0.000405531,0.000135177,0.000405531,0.000135177
6,47.1612,0.73622,0.36364,1,0.92745,0.000482034,0.000160678,0.000482034,0.000160678,0.000482034,0.000160678,0.000482034,0.000160678
7,54.4687,0.78531,0.36364,1,0.92204,0.000553586,0.000184529,0.000553586,0.000184529,0.000553586,0.000184529,0.000553586,0.000184529
8,62.1771,0.73356,0.45455,1,0.9007,0.000620187,0.000206729,0.000620187,0.000206729,0.000620187,0.000206729,0.000620187,0.000206729
9,69.556,0.7853,0.45455,1,0.87843,0.000681836,0.000227279,0.000681836,0.000227279,0.000681836,0.000227279,0.000681836,0.000227279
10,77.0627,0.68285,0.45455,1,0.86293,0.000738535,0.000246178,0.000738535,0.000246178,0.000738535,0.000246178,0.000738535,0.000246178
11,84.4834,0.64706,0.45455,1,0.83595,0.000790283,0.000263428,0.000790283,0.000263428,0.000790283,0.000263428,0.000790283,0.000263428
