epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,19.5381,0.72209,0.40741,1,0.78221,0.00030006,0.00010002,0.00030006,0.00010002,0.00030006,0.00010002,0.00030006,0.00010002
2,45.1768,0.7156,0.40741,1,0.75719,0.000643694,0.000214565,0.000643694,0.000214565,0.000643694,0.000214565,0.000643694,0.000214565
3,66.455,0.6974,0.48148,1,0.72779,0.000980396,0.000326799,0.000980396,0.000326799,0.000980396,0.000326799,0.000980396,0.000326799
4,88.6351,0.68788,0.59259,1,0.71351,0.00131017,0.000436722,0.00131017,0.000436722,0.00131017,0.000436722,0.00131017,0.000436722
5,113.521,0.67468,0.59259,1,0.69167,0.00163301,0.000544336,0.00163301,0.000544336,0.00163301,0.000544336,0.00163301,0.000544336
6,137.164,0.62894,0.59259,1,0.65603,0.00194891,0.000649638,0.00194891,0.000649638,0.00194891,0.000649638,0.00194891,0.000649638
7,162.361,0.59699,0.66667,1,0.61064,0.00225789,0.00075263,0.00225789,0.00075263,0.00225789,0.00075263,0.00225789,0.00075263
8,187.862,0.55994,0.7037,1,0.58666,0.00255994,0.000853312,0.00255994,0.000853312,0.00255994,0.000853312,0.00255994,0.000853312
9,213.648,0.5611,0.77778,1,0.55939,0.00285505,0.000951684,0.00285505,0.000951684,0.00285505,0.000951684,0.00285505,0.000951684
10,239.101,0.55294,0.77778,1,0.53348,0.00314323,0.00104774,0.00314323,0.00104774,0.00314323,0.00104774,0.00314323,0.00104774
11,258.494,0.49357,0.74074,1,0.5115,0.00342448,0.00114149,0.00342448,0.00114149,0.00342448,0.00114149,0.00342448,0.00114149
12,274.212,0.48744,0.85185,1,0.47016,0.0036988,0.00123293,0.0036988,0.00123293,0.0036988,0.00123293,0.0036988,0.00123293
13,289.734,0.47663,0.81481,1,0.45495,0.00396619,0.00132206,0.00396619,0.00132206,0.00396619,0.00132206,0.00396619,0.00132206
14,305.292,0.4496,0.85185,1,0.42865,0.00422665,0.00140888,0.00422665,0.00140888,0.00422665,0.00140888,0.00422665,0.00140888
15,320.775,0.44762,0.85185,1,0.37691,0.00430786,0.00143595,0.00430786,0.00143595,0.00430786,0.00143595,0.00430786,0.00143595
16,336.161,0.45907,0.88889,1,0.36508,0.00425835,0.00141945,0.00425835,0.00141945,0.00425835,0.00141945,0.00425835,0.00141945
17,351.734,0.45626,0.85185,1,0.33703,0.00420884,0.00140295,0.00420884,0.00140295,0.00420884,0.00140295,0.00420884,0.00140295
18,367.175,0.40356,0.92593,1,0.31985,0.00415933,0.00138644,0.00415933,0.00138644,0.00415933,0.00138644,0.00415933,0.00138644
19,384.225,0.38331,0.88889,1,0.32194,0.00410982,0.00136994,0.00410982,0.00136994,0.00410982,0.00136994,0.00410982,0.00136994
20,399.731,0.31548,0.88889,1,0.33162,0.00406031,0.00135344,0.00406031,0.00135344,0.00406031,0.00135344,0.00406031,0.00135344
21,415.332,0.36743,0.88889,1,0.3179,0.0040108,0.00133693,0.0040108,0.00133693,0.0040108,0.00133693,0.0040108,0.00133693
22,439.356,0.37918,0.88889,1,0.29218,0.00396129,0.00132043,0.00396129,0.00132043,0.00396129,0.00132043,0.00396129,0.00132043
23,463.46,0.32697,0.88889,1,0.28368,0.00391178,0.00130393,0.00391178,0.00130393,0.00391178,0.00130393,0.00391178,0.00130393
24,488.256,0.29927,0.88889,1,0.30618,0.00386227,0.00128742,0.00386227,0.00128742,0.00386227,0.00128742,0.00386227,0.00128742
25,512.916,0.26834,0.88889,1,0.31108,0.00381276,0.00127092,0.00381276,0.00127092,0.00381276,0.00127092,0.00381276,0.00127092
26,537.472,0.40712,0.88889,1,0.28031,0.00376325,0.00125442,0.00376325,0.00125442,0.00376325,0.00125442,0.00376325,0.00125442
27,557.704,0.31923,0.88889,1,0.25397,0.00371374,0.00123791,0.00371374,0.00123791,0.00371374,0.00123791,0.00371374,0.00123791
28,577.263,0.23017,0.88889,1,0.21985,0.00366423,0.00122141,0.00366423,0.00122141,0.00366423,0.00122141,0.00366423,0.00122141
29,592.579,0.29057,0.92593,1,0.20495,0.00361472,0.00120491,0.00361472,0.00120491,0.00361472,0.00120491,0.00361472,0.00120491
30,608.329,0.19381,0.88889,1,0.20432,0.00356521,0.0011884,0.00356521,0.0011884,0.00356521,0.0011884,0.00356521,0.0011884
31,623.676,0.18696,0.88889,1,0.19806,0.0035157,0.0011719,0.0035157,0.0011719,0.0035157,0.0011719,0.0035157,0.0011719
32,639.363,0.19194,0.92593,1,0.20918,0.00346619,0.0011554,0.00346619,0.0011554,0.00346619,0.0011554,0.00346619,0.0011554
33,654.857,0.20271,0.92593,1,0.20365,0.00341668,0.00113889,0.00341668,0.00113889,0.00341668,0.00113889,0.00341668,0.00113889
